종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
060310,3S,KOSDAQ,의료·정밀기기,1842,13,0.71,97734751680
054620,APS,KOSDAQ,금융,6380,-20,-0.31,126925129980
265520,AP시스템,KOSDAQ,기계·장비,17850,1110,6.63,272773364850
211270,AP위성,KOSDAQ,운송장비·부품,13050,120,0.93,196824067200
109960,AP헬스케어,KOSDAQ,유통,479,36,8.13,96178059851
139050,BF랩스,KOSDAQ,IT 서비스,2805,0,0.00,24247965555
126600,BGF에코머티리얼즈,KOSDAQ,화학,2775,0,0.00,174178144725
013720,CBI,KOSDAQ,운송장비·부품,766,13,1.73,34185152176
083790,CG인바이츠,KOSDAQ,일반서비스,2350,0,0.00,180701327700
035760,CJ ENM,KOSDAQ,오락·문화,55300,500,0.91,1212682216200
311690,CJ 바이오사이언스,KOSDAQ,일반서비스,11430,30,0.26,149338230660
051500,CJ프레시웨이,KOSDAQ,유통,20100,350,1.77,238618878600
058820,CMG제약,KOSDAQ,제약,1840,42,2.34,255561728960
023460,CNH,KOSDAQ,금융,109,0,0.00,4054800000
056730,CNT85,KOSDAQ,건설,669,0,0.00,49580383434
065770,CS,KOSDAQ,전기·전자,1973,163,9.01,38298159490
083660,CSA 코스믹,KOSDAQ,화학,660,0,0.00,40423139460
456440,DB금융스팩11호,KOSDAQ,금융,2270,80,3.65,12065050000
477760,DB금융스팩12호,KOSDAQ,금융,2060,5,0.24,12030400000
099520,DGI,KOSDAQ,전기·전자,1284,0,0.00,58141862016
060900,DGP,KOSDAQ,전기·가스·수도,876,6,0.69,22126208604
290120,DH오토리드,KOSDAQ,운송장비·부품,2335,-65,-2.71,36227847230
025440,DH오토웨어,KOSDAQ,전기·전자,695,0,0.00,33902950680
068790,DMS,KOSDAQ,기계·장비,6530,80,1.24,156635913190
241520,DSC인베스트먼트,KOSDAQ,금융,5570,880,18.76,153153416250
180400,DXVX,KOSDAQ,일반서비스,1837,-44,-2.34,90416096584
245620,EDGC,KOSDAQ,일반서비스,415,0,0.00,57474989665
037370,EG,KOSDAQ,화학,6150,160,2.67,53043577800
050120,ES큐브,KOSDAQ,유통,2240,60,2.75,30383552640
214270,FSN,KOSDAQ,IT 서비스,1325,28,2.16,44056863475
130500,GH신소재,KOSDAQ,섬유·의류,2640,0,0.00,38398937280
900290,GRT,KOSDAQ,금융,3595,20,0.56,290655750000
083450,GST,KOSDAQ,기계·장비,21550,500,2.38,397166500000
297890,HB솔루션,KOSDAQ,기계·장비,2815,95,3.49,205891672910
440290,HB인베스트먼트,KOSDAQ,금융,1732,10,0.58,46949341320
078150,HB테크놀러지,KOSDAQ,기계·장비,2415,0,0.00,223908937140
195940,HK이노엔,KOSDAQ,제약,36400,-50,-0.14,1031208032400
028300,HLB,KOSDAQ,제약,72000,-2200,-2.96,9459895176000
278650,HLB바이오스텝,KOSDAQ,일반서비스,2170,-20,-0.91,188205378130
067630,HLB생명과학,KOSDAQ,제약,8960,-130,-1.43,1092129454080
024850,HLB이노베이션,KOSDAQ,전기·전자,2470,15,0.61,356431183810
187420,HLB제넥스,KOSDAQ,제약,4070,90,2.26,118583039740
047920,HLB제약,KOSDAQ,일반서비스,24700,-450,-1.79,785830351800
115450,HLB테라퓨틱스,KOSDAQ,유통,7990,-90,-1.11,672217244790
046210,HLB파나진,KOSDAQ,제약,2585,5,0.19,112854864980
403870,HPSP,KOSDAQ,기계·장비,27950,700,2.57,2333784975600
036640,HRS,KOSDAQ,화학,4950,-5,-0.10,80956260000
439730,IBKS제20호스팩,KOSDAQ,금융,2110,0,0.00,9094100000
442770,IBKS제21호스팩,KOSDAQ,금융,2155,0,0.00,9072550000
448760,IBKS제22호스팩,KOSDAQ,금융,2225,0,0.00,9856750000
467930,IBKS제23호스팩,KOSDAQ,금융,2120,-15,-0.70,8967600000
469480,IBKS제24호스팩,KOSDAQ,금융,2120,0,0.00,8967600000
095340,ISC,KOSDAQ,유통,61700,1900,3.18,1307858478600
950170,JTC,KOSDAQ,유통,5120,20,0.39,264941301760
067290,JW신약,KOSDAQ,제약,1423,19,1.35,75954227298
035900,JYP Ent.,KOSDAQ,오락·문화,69800,-900,-1.27,2480167941600
318000,KBG,KOSDAQ,화학,4910,15,0.31,42914494930
024840,KBI메탈,KOSDAQ,금속,2120,55,2.66,74007501880
024120,KB오토시스,KOSDAQ,운송장비·부품,3150,30,0.96,36225000000
455250,KB제25호스팩,KOSDAQ,금융,2100,-20,-0.94,9040500000
458320,KB제26호스팩,KOSDAQ,금융,3020,0,0.00,16625100000
464680,KB제27호스팩,KOSDAQ,금융,1990,-2,-0.10,25680950000
476470,KB제28호스팩,KOSDAQ,금융,2095,0,0.00,11532975000
478390,KB제29호스팩,KOSDAQ,금융,2045,-5,-0.24,12719900000
486630,KB제30호스팩,KOSDAQ,금융,2010,0,0.00,10673100000
492220,KB제31호스팩,KOSDAQ,금융,1998,-1,-0.05,12407580000
021320,KCC건설,KOSDAQ,건설,4045,90,2.28,86563000000
036670,KCI,KOSDAQ,화학,6370,-20,-0.31,71789900000
044180,KD,KOSDAQ,건설,443,18,4.24,11835984957
046440,KG모빌리언스,KOSDAQ,IT 서비스,4210,15,0.36,160025476420
151860,KG에코솔루션,KOSDAQ,화학,5180,30,0.58,254353550360
035600,KG이니시스,KOSDAQ,IT 서비스,8530,-20,-0.23,238024822020
226360,KH 건설,KOSDAQ,건설,2555,0,0.00,60698450260
111870,KH 미래물산,KOSDAQ,전기·전자,8910,0,0.00,43928518590
060720,KH바텍,KOSDAQ,전기·전자,9430,40,0.43,223278278060
058400,KNN,KOSDAQ,오락·문화,775,-1,-0.13,102633033000
101000,KS인더스트리,KOSDAQ,기계·장비,2210,50,2.31,67730159510
122450,KX,KOSDAQ,오락·문화,3670,70,1.94,166382987880
052900,KX하이텍,KOSDAQ,화학,966,9,0.94,53233861422
061970,LB세미콘,KOSDAQ,전기·전자,3745,105,2.88,217520857470
309960,LB인베스트먼트,KOSDAQ,금융,3675,85,2.37,85323353325
225190,LK삼양,KOSDAQ,의료·정밀기기,2175,-45,-2.03,110377857000
060370,LS마린솔루션,KOSDAQ,건설,16770,810,5.08,547856681580
417200,LS머트리얼즈,KOSDAQ,전기·전자,11920,960,8.76,806419695280
078020,LS증권,KOSDAQ,금융,3810,20,0.53,211383333900
476080,M83,KOSDAQ,오락·문화,17300,-200,-1.14,134680500000
086960,MDS테크,KOSDAQ,IT 서비스,1197,2,0.17,111107680236
038340,MIT,KOSDAQ,전기·전자,1233,0,0.00,39979891836
160550,NEW,KOSDAQ,오락·문화,2075,5,0.24,57905169950
053290,NE능률,KOSDAQ,오락·문화,4910,-50,-1.01,81144167370
060250,NHN KCP,KOSDAQ,금융,8010,180,2.30,321686494110
104200,NHN벅스,KOSDAQ,IT 서비스,3165,35,1.12,46929195750
222160,NPX,KOSDAQ,기계·장비,8040,0,0.00,79551289560
024940,PN풍년,KOSDAQ,유통,6900,-20,-0.29,69000000000
218410,RFHIC,KOSDAQ,전기·전자,15820,0,0.00,418983872440
327260,RF머트리얼즈,KOSDAQ,전기·전자,6430,410,6.81,54225675330
474610,RF시스템즈,KOSDAQ,금속,5620,-30,-0.53,72637730060
091340,S&K폴리텍,KOSDAQ,전기·전자,2895,75,2.66,33882272295
419530,SAMG엔터,KOSDAQ,오락·문화,28850,-2050,-6.63,247848330500
019550,SBI인베스트먼트,KOSDAQ,금융,696,6,0.87,112798336200
950110,SBI핀테크솔루션즈,KOSDAQ,IT 서비스,4910,0,0.00,118097971400
036120,SCI평가정보,KOSDAQ,IT 서비스,2165,0,0.00,76857500000
246960,SCL사이언스,KOSDAQ,제약,8250,0,0.00,60088058250
099220,SDN,KOSDAQ,유통,1073,2,0.19,60272353203
036540,SFA반도체,KOSDAQ,전기·전자,3135,65,2.12,515583049905
255220,SG,KOSDAQ,비금속,2575,-35,-1.34,253314278275
040610,SG&G,KOSDAQ,운송·창고,1544,1,0.06,52630630624
049470,SGA,KOSDAQ,IT 서비스,294,4,1.38,17305501206
184230,SGA솔루션즈,KOSDAQ,IT 서비스,450,1,0.22,28169622450
016250,SGC E&C,KOSDAQ,건설,14130,-40,-0.28,45831856050
357880,SKAI,KOSDAQ,IT 서비스,2070,-40,-1.90,70220005560
048550,SM C&C,KOSDAQ,일반서비스,1425,16,1.14,137818333500
063440,SM Life Design,KOSDAQ,출판·매체복제,1331,6,0.45,61264803974
067160,SOOP,KOSDAQ,IT 서비스,84300,900,1.08,969008858100
289080,SV인베스트먼트,KOSDAQ,금융,1351,40,3.05,72782551345
089230,THE E&M,KOSDAQ,IT 서비스,776,-15,-1.90,16981171528
032540,TJ미디어,KOSDAQ,전기·전자,4695,10,0.21,65408904255
022220,TKG애강,KOSDAQ,화학,906,5,0.55,46925888574
048770,TPC,KOSDAQ,기계·장비,2110,55,2.68,33122761010
246690,TS인베스트먼트,KOSDAQ,금융,1218,80,7.03,50520035916
317240,TS트릴리온,KOSDAQ,화학,280,-11,-3.78,30027458160
057030,YBM넷,KOSDAQ,일반서비스,3800,50,1.33,61988248600
040300,YTN,KOSDAQ,오락·문화,3245,110,3.51,136290000000
051390,YW,KOSDAQ,유통,3645,0,0.00,41390316360
052220,iMBC,KOSDAQ,오락·문화,4440,260,6.22,102120000000
079940,가비아,KOSDAQ,IT 서비스,15010,-10,-0.07,203170616840
078890,가온그룹,KOSDAQ,전기·전자,3065,15,0.49,53931056505
399720,가온칩스,KOSDAQ,전기·전자,49350,2250,4.78,572327742000
036620,감성코퍼레이션,KOSDAQ,유통,3425,-70,-2.00,318204961150
198440,강동씨앤엘,KOSDAQ,비금속,1256,-1,-0.08,76530461376
217730,강스템바이오텍,KOSDAQ,제약,2260,40,1.80,126682376740
114190,강원에너지,KOSDAQ,전기·전자,7870,-20,-0.25,205588309060
094480,갤럭시아머니트리,KOSDAQ,IT 서비스,8190,80,0.99,321292373220
039240,경남스틸,KOSDAQ,금속,4755,15,0.32,128288017020
053950,경남제약,KOSDAQ,제약,644,3,0.47,50326898552
011040,경동제약,KOSDAQ,제약,5700,10,0.18,175381966200
024910,경창산업,KOSDAQ,운송장비·부품,1808,12,0.67,64760761040
049720,고려신용정보,KOSDAQ,일반서비스,9620,-10,-0.10,137566000000
014570,고려제약,KOSDAQ,제약,4800,0,0.00,52800000000
348150,고바이오랩,KOSDAQ,일반서비스,4725,35,0.75,91541441250
950190,고스트스튜디오,KOSDAQ,IT 서비스,7750,-70,-0.90,105244163000
098460,고영,KOSDAQ,기계·장비,17160,720,4.38,1178115595800
035290,골드앤에스,KOSDAQ,오락·문화,389,7,1.83,18546150720
215000,골프존,KOSDAQ,IT 서비스,60500,300,0.50,379662607500
121440,골프존뉴딘홀딩스,KOSDAQ,유통,4000,460,12.99,171347272000
366030,공구우먼,KOSDAQ,섬유·의류,4495,65,1.47,101829055750
014200,광림,KOSDAQ,운송장비·부품,30200,0,0.00,91311391200
029480,광무,KOSDAQ,전기·전자,2280,50,2.24,125465255880
026910,광진실업,KOSDAQ,금속,1923,17,0.89,12317593815
440790,교보13호스팩,KOSDAQ,금융,2155,10,0.47,8727750000
456490,교보14호스팩,KOSDAQ,금융,2125,0,0.00,8925000000
465320,교보15호스팩,KOSDAQ,금융,2095,0,0.00,7981950000
482520,교보16호스팩,KOSDAQ,금융,2015,-10,-0.49,12291500000
489210,교보17호스팩,KOSDAQ,금융,1997,-3,-0.15,10344460000
053270,구영테크,KOSDAQ,운송장비·부품,2230,20,0.90,61125203150
066620,국보디자인,KOSDAQ,건설,17060,60,0.35,127950000000
043650,국순당,KOSDAQ,음식료·담배,4525,-30,-0.66,80808825600
006050,국영지앤엠,KOSDAQ,비금속,1629,11,0.68,56844350847
060480,국일신동,KOSDAQ,금속,1714,7,0.41,19008260000
078130,국일제지,KOSDAQ,종이·목재,800,0,0.00,901924696800
307750,국전약품,KOSDAQ,제약,3325,40,1.22,163155319425
035080,그래디언트,KOSDAQ,유통,13870,-50,-0.36,189694414260
453450,그리드위즈,KOSDAQ,일반서비스,15570,30,0.19,123668617500
204020,그리티,KOSDAQ,섬유·의류,2855,5,0.18,57520912650
402490,그린리소스,KOSDAQ,전기·전자,16970,40,0.24,140273069680
